algorithm,k,s,# of nodes,runtime,average_degree,average_cardinality,dataset
ks,20,0.0,1718,12.73569130897522,426.25145518044235,48.37310826542491,congress
ks,20,0.5,751,26.629355669021606,698.7776298268975,63.86018641810919,congress
ks,20,1.0,279,34.23289203643799,898.010752688172,112.41935483870968,congress
ks,20,2.0,196,39.97426509857178,1149.7295918367347,123.60204081632654,congress
